挨着	挨著	ai1zhe5	āizhe	near
疾病	疾病	ji2bing4	jíbìng	disease; sickness; ailment
集	集	ji2	jí	to gather; to collect; collected works
给予	給予	ji3yu3	jǐyǔ	(literary) to give; to accord; to render
加盟	加盟	jia1meng2	jiāméng	to become a member of an alliance or union; to align; to join
家电	家電	jia1dian4	jiādiàn	household electric appliance; abbr. for 家用电器
家园	家園	jia1yuan2	jiāyuán	home; homeland
嘉宾	嘉賓	jia1bin1	jiābīn	esteemed guest; honored guest; guest (on a show)
假日	假日	jia4ri4	jiàrì	holiday; non-working day
尖	尖	jian1	jiān	pointed; tapering; sharp; (of a sound) shrill; piercing; (of one's hearing, sight etc) sharp; acute; keen
监测	監測	jian1ce4	jiāncè	to monitor
监督	監督	jian1du1	jiāndū	to control; to supervise; to inspect
捡	撿	jian3	jiǎn	to pick up; to collect; to gather
简介	簡介	jian3jie4	jiǎnjiè	summary; brief introduction
剑	劍	jian4	jiàn	double-edged sword; classifier for blows of a sword
鉴定	鑑定	jian4ding4	jiàndìng	to appraise; to identify; to evaluate
